   17266.26       49540.00       7700.730       1869.000    
   16816.11       50800.00       7876.280       1916.000    
   16969.46       52055.00       7948.630       1870.000    
   21554.32       53351.00       7524.710       1663.000    
   20221.89       54700.00       7290.300       1542.000    
   16852.21       56004.00       7387.530       1535.000    
   16159.13       57356.00       7588.980       1603.000    
   14401.17       58721.00       8209.450       1674.000    
   11462.82       60097.00       9717.960       1734.000    
   18416.30       61480.00       9850.460       1761.000    
   4949.982       13091.00       1117.430       1252.000    
   9371.428       13284.00       968.9400       1295.000    
   8907.318       13496.00       903.5600       1284.000    
   9726.864       13717.00       926.3100       1336.000    
   9465.564       13942.00       1004.940       1390.000    
   8571.543       14184.00       1166.480       1497.000    
   14477.73       14471.00       1242.920       1548.000    
   21540.18       14738.00       1195.580       1635.000    
   22513.77       14988.00       1220.040       1632.000    
   21118.47       15189.00       1322.730       1792.000    
   21517.18       15417.00       1269.770       1905.000    
   24745.51       15599.00       1336.850       1928.000    
   24300.35       15837.00       1296.890       2045.000    
   21669.49       16117.00       1316.690       2048.000    
   21221.37       16361.00       1319.620       2040.000    
   19615.72       16587.00       1370.280       2028.000    
   20753.30       16806.00       1275.220       2037.000    
   21792.21       16993.00       1487.810       2096.000    
   10655.57       15565.00       10340.00       2912.000    
   13533.46       15852.00       9762.400       3004.000    
   13456.50       16150.00       10928.00       3044.000    
   13304.49       16508.00       13074.00       3345.000    
   13508.64       16813.00       14495.00       3570.000    
   13010.38       17136.00       16797.00       3920.000    
   14594.25       17479.00       18087.00       4249.000    
   17536.86       17805.00       19194.00       4458.000    
   19581.84       18136.00       18543.00       4593.000    
   20826.20       18458.00       19148.00       4642.000    
   19447.83       18733.00       20884.00       4903.000    
   19336.62       19013.00       22005.00       5295.000    
   19781.42       19258.00       23286.00       5449.000    
   17227.58       19455.00       25349.00       5901.000    
   16009.66       19673.00       27163.00       6598.000    
   14828.06       19904.00       30339.00       7166.000    
   14567.53       20101.00       31500.00       7722.000    
   14374.86       20353.00       33405.00       8067.000    
   8908.078       39142.00       6822.420       1652.000    
   9582.563       40257.00       6642.470       1644.000    
   9449.643       41359.00       7003.270       1686.000    
   9153.382       42450.00       7813.310       1781.000    
   9590.331       43532.00       8205.930       1909.000    
   10407.69       44602.00       8731.460       2027.000    
   9858.597       45659.00       9511.430       2157.000    
   14816.52       46700.00       9287.780       2180.000    
   16018.39       47727.00       9323.800       2217.000    
   15953.36       48740.00       9467.140       2196.000    
   14064.86       49739.00       10457.15       2397.000    
   14140.39       50720.00       11596.71       2459.000    
   13780.10       51683.00       11791.43       2463.000    
   12605.50       52654.00       12481.31       2510.000    
   12225.15       53605.00       13912.85       2698.000    
   11566.11       54536.00       15981.91       2971.000    
   10762.00       55448.00       18710.56       3245.000    
   10724.63       56303.00       20896.82       3570.000    
